Contract ID,Reference IDV,Modification Number,Transaction Number,Award/IDV Type,Action Obligation ($),Date Signed,Solicitation Date,Contracting Agency ID,Contracting Agency,Contracting Office Name,PSC Type,PSC,PSC Description,NAICS,NAICS Description,Entity City,Entity State,Entity ZIP Code,Additional Reporting Code,Additional Reporting Description,Unique Entity ID,Ultimate Parent Unique Entity ID,Ultimate Parent Legal Business Name,Legal Business Name,CAGE Code
70FA3018F00000076,HSHQDC13D00017,0,0,DO Delivery Order,"$129,777.12 ",31-Oct-17,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY COMMODITIES AND TELECOMMUNICATIONS,P,7030,INFORMATION TECHNOLOGY SOFTWARE,541519,OTHER COMPUTER RELATED SERVICES,ROCKVILLE,MD,208521827,NONE,NONE OF THE ABOVE,JEANDJTZ8HJ3,JEANDJTZ8HJ3,FCN  INC.,"FCN, INC.",0WU14
70FA3019F00000715,HSHQDC13D00017,0,0,DO Delivery Order,$0.00 ,26-Sep-19,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY COMMODITIES AND TELECOMMUNICATIONS,P,7030,INFORMATION TECHNOLOGY SOFTWARE,541519,OTHER COMPUTER RELATED SERVICES,ROCKVILLE,MD,208521827,NONE,NONE OF THE ABOVE,JEANDJTZ8HJ3,JEANDJTZ8HJ3,FCN  INC.,"FCN, INC.",0WU14
HSFEHQ09J1450,HSHQDC07D00026,0,0,DO Delivery Order,"$259,999.45 ",8-Sep-09,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,IT SECTION,P,7030,ADP SOFTWARE,541519,OTHER COMPUTER RELATED SERVICES,MC LEAN,VA,221023882,,,L7MZK1KZZ162,L7MZK1KZZ162,MA FEDERAL  INC.,M A FEDERAL INCORPORATED (2233),
HSFEHQ07F1083,GS35F0526M,0,0,DO Delivery Order,"$59,479.00 ",29-Sep-07,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,MITIGATION BRANCH,S,R409,PROGRAM REVIEW/DEVELOPMENT SERVICES,,,ALEXANDRIA,VA,223121433,,,NM13FLEJH5A8,NM13FLEJH5A8,OSI FEDERAL TECHNOLOGIES INC.,"OSI FEDERAL TECHNOLOGIES, INC.",
HSFEHQ08J2009,HSHQDC06D00019,P00021,0,DO Delivery Order,"$3,042,493.31 ",18-Aug-09,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,IT SECTION,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ11J1033,HSHQDC07D00020,0,0,DO Delivery Order,"$33,013.29 ",22-Jul-11,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,IT SECTION,P,7030,ADP SOFTWARE,541519,OTHER COMPUTER RELATED SERVICES,GAINESVILLE,GA,305077457,,,KNDAEKSMLLE4,KNDAEKSMLLE4,ALL POINTS LOGISTICS  INC.,ALL POINTS LOGISTICS INCORPORATED,
HSFEHQ11J1037,HSHQDC07D00026,0,0,DO Delivery Order,"$143,505.80 ",22-Jul-11,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,IT SECTION,P,7030,ADP SOFTWARE,541519,OTHER COMPUTER RELATED SERVICES,MC LEAN,VA,221023882,,,L7MZK1KZZ162,L7MZK1KZZ162,MA FEDERAL  INC.,M A FEDERAL INCORPORATED (2233),
HSFEHQ10J0223,HSHQDC07D00026,0,0,DO Delivery Order,"$86,938.43 ",20-Jan-10,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,IT SECTION,P,7030,ADP SOFTWARE,541519,OTHER COMPUTER RELATED SERVICES,MC LEAN,VA,221023882,,,L7MZK1KZZ162,L7MZK1KZZ162,MA FEDERAL  INC.,M A FEDERAL INCORPORATED (2233),
70FA3018F00000314,HSHQDC11A00040,0,0,BPA Call Blanket Purchase Agreement,"$74,793.94 ",22-Mar-18,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY COMMODITIES AND TELECOMMUNICATIONS,P,7030,INFORMATION TECHNOLOGY SOFTWARE,532420,OFFICE MACHINERY AND EQUIPMENT RENTAL AND LEASING,MC LEAN,VA,221023640,NONE,NONE OF THE ABOVE,K87WE4KQLBG4,K87WE4KQLBG4,ESCGOV  INC.,ESCGOV,3L9F0
HSFEHQ07F1085,GS35F0286T,0,0,DO Delivery Order,"$8,955.00 ",29-Sep-07,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,MITIGATION BRANCH,S,R409,PROGRAM REVIEW/DEVELOPMENT SERVICES,541519,OTHER COMPUTER RELATED SERVICES,MOUNTAIN VIEW,CA,940434047,,,E5AXLKQX6NL4,E5AXLKQX6NL4,VERISIGN  INC.,VERISIGN INCORPORATED,
HSFEHQ08J0001,HSHQDC07D00027,1,0,DO Delivery Order,"($29,381.44)",1-Apr-08,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,MT. WEATHER EMERGENCY OPS BRANCH,P,5895,MISC COMMUNICATION EQ,541519,OTHER COMPUTER RELATED SERVICES,UPPER MARLBORO,MD,207745323,,,Q2C2QFEUHAX4,Q2C2QFEUHAX4,MULTIMAXARRAY FIRSTSOURCE,MULTIMAXARRAY FIRSTSOURCE,
HSFEHQ08J0001,HSHQDC07D00027,0,0,DO Delivery Order,"$110,582.44 ",27-Dec-07,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,MT. WEATHER EMERGENCY OPS BRANCH,P,5895,MISC COMMUNICATION EQ,541519,OTHER COMPUTER RELATED SERVICES,UPPER MARLBORO,MD,207745323,,,Q2C2QFEUHAX4,Q2C2QFEUHAX4,MULTIMAXARRAY FIRSTSOURCE,MULTIMAXARRAY FIRSTSOURCE,
HSFE2013P0257,,P00011,0,PO Purchase Order,$0.00 ,17-Nov-16,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,PREPAREDNESS SECTION(PRE20),P,7030,INFORMATION TECHNOLOGY SOFTWARE,511210,SOFTWARE PUBLISHERS,GAITHERSBURG,MD,208793326,,,GKURBKCK28R2,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,109,0,DO Delivery Order,$0.00 ,30-Sep-11,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,IT SECTION,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,M00118,0,DO Delivery Order,($850.21),4-Jan-12,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,IT SECTION,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,M00134,0,DO Delivery Order,"$457,291.59 ",1-May-12,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,IT SECTION,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,M00139,0,DO Delivery Order,"$768,557.55 ",15-Jun-12,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,IT SECTION,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,M00167,0,DO Delivery Order,"$363,873.09 ",30-Apr-13,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,IT SECTION,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,M00177,0,DO Delivery Order,"$6,372,354.93 ",18-Jul-13,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY BRANCH,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,M00207,0,DO Delivery Order,"$34,916.04 ",11-Jun-14,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY BRANCH,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,M00215,0,DO Delivery Order,"$1,736,208.18 ",7-Aug-14,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY BRANCH,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,M00220,0,DO Delivery Order,"$5,268,545.89 ",23-Sep-14,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY BRANCH,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,M00223,0,DO Delivery Order,"$5,700,294.64 ",29-Sep-14,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY BRANCH,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,M00260,0,DO Delivery Order,"$1,150,846.58 ",10-Aug-15,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY BRANCH,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,M00266,0,DO Delivery Order,$0.00 ,23-Sep-15,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY BRANCH,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,M00271,0,DO Delivery Order,"$3,313,251.00 ",19-Oct-15,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY BRANCH,P,7010,INFORMATION TECHNOLOGY EQUIPMENT SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,M00292,0,DO Delivery Order,"$198,391.00 ",19-Feb-16,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY BRANCH,P,7010,INFORMATION TECHNOLOGY EQUIPMENT SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,P00010,0,DO Delivery Order,"$1,433,426.93 ",30-Apr-09,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,IT SECTION,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,P00012,0,DO Delivery Order,"$336,372.94 ",20-May-09,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,IT SECTION,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,P00017,0,DO Delivery Order,"$1,120,881.25 ",8-Jul-09,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,IT SECTION,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,P00051,0,DO Delivery Order,"$227,101.19 ",5-Mar-10,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,IT SECTION,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,P00077,0,DO Delivery Order,"$12,522,717.62 ",29-Sep-10,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,IT SECTION,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,P00303,0,DO Delivery Order,"$548,445.32 ",29-Jun-16,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY COMMODITIES AND TELECOMMUNICATIONS,P,7010,INFORMATION TECHNOLOGY EQUIPMENT SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,3BXY7
HSFEHQ08J2009,HSHQDC06D00019,P00309,0,DO Delivery Order,"$770,378.76 ",26-Aug-16,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY COMMODITIES AND TELECOMMUNICATIONS,P,7010,INFORMATION TECHNOLOGY EQUIPMENT SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,P00330,0,DO Delivery Order,"($520,037.00)",29-Mar-17,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY COMMODITIES AND TELECOMMUNICATIONS,P,7010,INFORMATION TECHNOLOGY EQUIPMENT SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,3BXY7
HSFEHQ08J0001,HSHQDC06D00019,P00002,0,DO Delivery Order,"$100,000.00 ",6-Jun-08,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,RECOVERY&LOGISTICS BRANCH,S,R421,TECHNICAL ASSISTANCE,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,0,0,DO Delivery Order,"$23,978,269.08 ",12-Sep-08,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,RESPONSE&IT BRANCH,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,104,0,DO Delivery Order,"$6,284,202.12 ",14-Sep-11,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,IT SECTION,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,107,0,DO Delivery Order,"$723,983.99 ",29-Sep-11,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,IT SECTION,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,M00124,0,DO Delivery Order,"$3,760,173.17 ",14-Feb-12,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,IT SECTION,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,M00126,0,DO Delivery Order,"$1,118,183.65 ",28-Feb-12,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,IT SECTION,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,M00136,0,DO Delivery Order,"$1,661,232.36 ",21-May-12,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,IT SECTION,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,M00159,0,DO Delivery Order,"$33,000.00 ",26-Feb-13,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,IT SECTION,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,M00180,0,DO Delivery Order,"($397,471.42)",14-Aug-13,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY BRANCH,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
HSFEHQ08J2009,HSHQDC06D00019,M00187,0,DO Delivery Order,"$8,692,901.22 ",27-Sep-13,,7022,FEDERAL EMERGENCY MANAGEMENT AGENCY,INFORMATION TECHNOLOGY BRANCH,P,7010,ADPE SYSTEM CONFIGURATION,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,BETHESDA,MD,208171826,,,VV9KH3L99VE3,J64CSQTQNRC1,INTERNATIONAL BUSINESS MACHINES CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,
